,name,location,rent,deposit,area,type,highlights,description,owner
171,Mantra Insignia,KeshavNagar,28003.0,84000.0,975.0,2 BHK ,"['2 Baths', 'Full Power Backup']","Mantra insignia is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in keshav nagar with 975 sq.Ft., is your opportunity to be a part of this community. This property offers access to nearby landmarks and is close to market. This 2 bhk flat comes with 2 bathrooms set in 975 sq.Ft. Super built-Up usable area. The flat is built on 975 sq.Ft. Area. Eas...",www.Azuro 
172,Vertical Oriana,KeshavNagar,28004.0,84000.0,1170.0,2 BHK ,"['2 Baths', 'Full Power Backup']","Situated in keshav nagar pune, vertical oriana is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1170 sq.Ft. Big 2 bhk apartment now available for rent. Additionally, this property is in vicinity to important points of interest and is close to market. This flat consists of 2 bathrooms in 1170 sq.Ft. Super built-Up area. The flat is bui...",www.Azuro 
173,Majestique Towers,Kharadi,31000.0,93000.0,808.0,2 BHK ,"['2 Baths', 'Private Garden']","A spacious 2 bhk flat for rent is available in kharadi in majestique towers, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 808 sq.Ft. Carpet area. Flat is constructed on 808 sq.Ft. You get an additional space of pooja room. 1 covered parking available. 1 open parking available. Placed on 9th of 16 floor in 1-5 years old tower. It is a semi-Furnished property. Inclusi...",Rado Realty Pvt Ltd 
174,Kolte Patil Life Republic Aros,Hadapsar,16500.0,48000.0,450.0,1 BHK ,"['East Facing', 'Full Power Backup']",New contractions life republic kolte patil marunji,URBAN PROPERTIES  
175,Govind Life Ville,PimpleSaudagar,27000.0,80000.0,843.0,2 BHK ,"['Fitness Center/ Gym', 'Club/ Community Center']",The life ville society is the one of the famous society in pimple saudagar area. There are number of amenities in the society like gym clubhouse swimming pool garden and temple also centre of the society. The flat have very good ventilation and sunlight properly cross from the balcony to hall . The bank shopping complex movie theater hotels hospital school and daycare also near from the society.,Bardhaman Property one of the famous consultant agency in pimple Saudagar 
176,Rohan Mithila,MhadaColony,49000.0,147000.0,1550.0,3 BHK ,"['East Facing', 'Private Garden']","Pune's most popular society rohan mithila in mhada colony offers 3 bhk apartment. Property has 1310 sq.Ft. Carpet area with 3 bathrooms & 1 balcony attached. Flat is constructed on 1550 sq.Ft. 1 covered parking available. 1 open parking available. Placed on 5th of 6 floor in 1-5 years old tower. Unfurnished flat property is ready to be leased on any agreement type from sat, 24 feb 2024 for fami...",Kargil Properties
177,Paranjape Blue Ridge The Promenade,Hadapsar,45000.0,135000.0,1660.0,3 BHK ,"['East Facing', 'Full Power Backup']","This 3 bhk flat in hinjewadi is available in paranjape blue ridge the promenade for rent, one of the most prominent projects for residential flats in pune. This flat consists of 3 bathrooms & 2 balconies build in 1530 sq.Ft. Super built-Up area. The flat is built on 1660 sq.Ft. Area. This property has pooja room and study room as well. Ease of access to 2 covered parking within society. This fl...",Sankalp Consultants Real Estate 
178,Kolte Patil Life Republic,Hadapsar,21000.0,63000.0,800.0,2 BHK ,"['East Facing', 'Full Power Backup']","This lovely 2 bhk apartment for rent in hinjewadi is available in one of pune's most popular projects, kolte patil life republic. Property has 750 sq.Ft. Super built-Up area with 2 bathrooms & 1 balcony attached. The flat consists of 2 bedrooms, built on 800 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat. The building has a total ...",Green Home Properties 
179,Paranjape Blue Ridge,Hadapsar,26500.0,50000.0,750.0,1 BHK ,"['North Facing', 'Ground Floor']","Pune's most popular society paranjape blue ridge in hinjewadi offers 1 bhk apartment. The flat is close to metro station, close to school, close to hospital and close to market. Property has attached 1 bathroom & 1 balcony with 1 room set in 750 sq.Ft. Carpet area. The flat consists of 1 bedroom, built on 750 sq.Ft. Society provides 1 covered parking with this flat. The building has a total of ...",Lotlite Realtors Private Limited
180,Nyati Esteban ,Undri,45000.0,135000.0,1215.0,3 BHK ,"['East Facing', 'Close to School']","Available 3 bhk unfurnished, 3 bhk fully furnished and 3.5 bhk semi furnished flats for rent at nyati esteban is a place where expectations are exceeded in more ways than one. Offering everything one could ask for from location and open space, to connectivity, conveniences, and ample living areas, it is your answer to a wholesome living. With modern amenities and the scenic surroundings, nyati ...",Vision Realty 
181,Paranjape Blue Ridge,Hadapsar,30000.0,90000.0,502.0,1 BHK ,"['1 Baths', 'East Facing']","1bhk fully furnished flat available for rent in paranjape blue ridge b9 loft.
Phase 1",Elite Properties 
182,swapnmandir gruh rachana society Erandawane,Erandwane,75000.0,4.0,3000.0,3 BHK ,"['North Facing', 'Close to School']","Bungalow for rent near khs school erandawane , for commercial use only like ca, architect office and small it company . Nice and calm location.",S Enterprise  
183,Deshpande Windmill Village,Bavdhan,55000.0,200000.0,4500.0,3 BHK ,"['4 Baths', 'East Facing']","3bh lavish bungalow available for rent 
Prime location 
Fully furnished 
Private garden 
More information please call dnyaneshwar",connex real estate 
184,Nanded Madhuvanti,Nanded,18500.0,50000.0,938.0,2 BHK ,"['East Facing', 'Private Garden']","Nanded madhuvanti is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in nanded, is your opportunity to be a part of this community. This flat consists of 2 bathrooms & 1 balcony build in 740 sq.Ft. Carpet area. This property is constructed on 938 sq.Ft. You also get 1 covered parking inside the premises located on 5th of 11 floor. This is a ready t...",Vastulaxmi Properties 
185,Shreyas Colonnade,Kharadi,38000.0,114000.0,1100.0,2 BHK ,"['2 Baths', 'East Facing']","2 bhk fully furnished flat available on rent in kharadi.
It has 1 covered car parking.
For site visit kindly contact.",Gaurav Properties & Investment Consultants
186,9 Ramnagar,Bavdhan,45000.0,100000.0,2000.0,3 BHK ,"['3 Baths', 'East Facing']","A spacious 3 bhk flat for rent is available in bavdhan in 9 ramnagar, pune. Property has attached 3 bathrooms & 3 balconies with 3 rooms set in 2000 sq.Ft. Super built-Up area. The flat consists of 3 bedrooms, built on 2000 sq.Ft. A separate space for pooja room is available in this flat. Society provides 2 covered parking with this flat. The building has a total of 6 floors and this property i...",connex real estate 
187,Keystone Altura,Wakad,36000.0,80000.0,1922.0,3 BHK ,['Fresh Construction'],"Find this 3 bhk apartment for rent in wakad, pune. This 3 bhk apartment in keystone altura is situated in pune. Property has 800 sq.Ft. Carpet area with 3 bathrooms & 2 balconies attached. Flat is constructed on 1922 sq.Ft. You get an additional space of pooja room. 1 covered parking available. Placed on 18th of 23 floor in 0-1 year old tower. This property is semi-Furnished. Equipped with 2 ge...",propwest reality  
188,Shree Sentosa Pride,Punawale,21000.0,50000.0,1105.0,2 BHK ,"['East Facing', 'Fresh Construction']","This lovely 2 bhk apartment for rent in punawale is available in one of pune's most popular projects, shree sentosa pride. This flat consists of 2 bathrooms & 3 balconies build in 1105 sq.Ft. Super built-Up area. The flat is built on 1105 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 12th in a tower with 18 floors. This is a 0-1 year old society. This...",Royal Tech Properties Pvt. Ltd. 
189,Vilas Javdekar Yashwin Orizzonte,Kharadi,35000.0,70000.0,1000.0,2 BHK ,"['East Facing', 'Gated Society']","This 2 bhk flat in kharadi is available in vilas javdekar yashwin orizzonte for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 1 balcony build in 1000 sq.Ft. Carpet area. Flat is constructed on 1000 sq.Ft. 1 covered parking available. 1 open parking available. Placed on 6th of 22 floor. This is a semi-Furnished flat. Furnishing option...",NESTAWAY TECHNOLOGIES PRIVATE LIMITED 
190,Ameya Arcade,Kothrud,14500.0,35000.0,620.0,1 BHK ,"['East Facing', 'Top Floor']","This lovely 1 bhk apartment for rent in kothrud is available in one of pune's most popular projects, ameya arcade. This property is close to mall. Property has attached 1 bathroom with 1 room set in 570 sq.Ft. Super built-Up area. The flat consists of 1 bedroom, built on 620 sq.Ft. A separate space for store room is available in this flat. & the option for 1 open parking is also available. The ...",Sai Real Estate Consultant 
191,Kohinoor Zen Estate,Kharadi,35000.0,105000.0,1400.0,3 BHK ,"['3 Baths', 'East Facing']","3 bhk flat available on rent in zen estate,kharadi,pune.
It has 1 covered car parking.
Rent for family 35000/-
For bachelors 42000/-
For site visit kindly contact.",Gaurav Properties & Investment Consultants
192,Kohinoor Zen Estate,Kharadi,28000.0,84000.0,750.0,2 BHK ,"['2 Baths', 'East Facing']","2 bhk on rent in zen estate ,kharadi,pune.
Flat available on higher floor.
It has 1 covered car park.
Project has all amenties.
For site visit kindly contact.",Gaurav Properties & Investment Consultants
