,name,location,rent,deposit,area,type,highlights,description,owner
0,Majestique Towers,Kharadi,30000.0,60000.0,808.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 30,000 in majestique towers, pune. This flat consists of 2 bathrooms & 1 balcony build in 808 sq.Ft. Carpet area. This property is constructed on 808 sq.Ft. Extra space for pooja room. You also get 1 covered parking inside the premises located on 10th of 16 floor. This is a ready to move property and it is...",PW Realty 
1,Balaji Mesmero,Lohegaon,22500.0,45000.0,1040.0,2 BHK ,"['2 Baths', 'East Facing']",2 bhk flat with modular kitchen lift garden kids play area security guard etc near by school college hospital bank atm airport shopping complex hotel etc,NK Properties 
2,ARV Ganga Kingston,NIBM,27000.0,81000.0,1012.0,2 BHK ,"['2 Baths', 'Private Garden']",Rent: 22000,Foursides Property Management 
3,Goel Ganga Constella,EonFreeZone,37000.0,111000.0,960.0,2 BHK ,"['East Facing', 'Full Power Backup']","2 bhk flat (East facing) with covered car parking in b6 building first floor, eon - Wtc facing available for rent in ganga constella society, eon it park, kharadi, pune The multistory apartment and gated society is located adjacent to Park. This semi-Furnished apartment offers covered car parking, with amenities like club house, children playing zone, gym, park & swimming pool for relaxation gi...",Owner 
4,Solitaire Residency,Rahatani,35000.0,90000.0,1444.0,3 BHK ,"['2 Baths', 'Full Power Backup']",The rose valley society is the one of the famous society in pimple saudagar rahatni area. There are number of amenities in the society like gym clubhouse swimming pool garden and temple also centre of the society. The flat have very good ventilation and sunlight properly cross from the balcony to hall . The bank shopping complex movie theater hotels hospital school and daycare also near from th...,Bardhaman Property one of the famous consultant agency in pimple Saudagar 
5,Nyati Esteban 1,Undri,45000.0,135000.0,2300.0,3 BHK ,"['3 Baths', 'Private Garden']","Fully furnished brand new flat with imported furniture (Furniture from dubai imported )very luxurious and beautiful spacious airy apartment with a gorgeous view. Good sunlight, perfect location with easy access to groceries, medicals, hotels, schools and transport. Cosmopolitan society with all amenities, for instance club house, swimming pool, gym, yoga room, childrens play area, ample car par...",HOME IT 
6,Kasturi La Salette,KirtaneBaugh,125000.0,750000.0,3000.0,4 BHK ,"['4 Baths', 'Full Power Backup']",4 bhk villa for rent in a gated society with all amenities. It is very close to magarpatta and amanora city,Geet Enterprises  
7,amanora Desire Tower,AmanoraParkTown,25000.0,50000.0,500.0,1 BHK ,"['1 Baths', 'East Facing']","1 bhk flat available for rent in amanora desire tower, kharadi.
Monthly rent 25 k negotiable.",VASTU REAL ESTATE 
8,Five Star Royal Imperio,Rahatani,30000.0,70000.0,1120.0,2 BHK ,"['2 Baths', 'East Facing']","Five star royal imperio is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in rahatani, is your opportunity to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 1120 sq.Ft. Carpet usable area. This property is constructed on 1120 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on 2n...",saudagar property 
9,Vilas Javdekar Yashwin Orizzonte,Kharadi,32000.0,65000.0,1052.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 32,000 in vilas javdekar yashwin orizzonte, pune. This property offers access to nearby landmarks and is close to school and close to market. This flat consists of 2 bathrooms & 2 balconies in 920 sq.Ft. Super built-Up area. The flat is built on 1052 sq.Ft. Area. This property has study room as well. Ease ...",FORTUNE REALTY SOLUTIONS
10,Vascon Citron Phase 1,Wagholi,19000.0,40000.0,1205.0,2 BHK ,"['North-East Facing', 'Private Garden']","This lovely 2 bhk apartment for rent in wagholi is available in one of pune's most popular projects, vascon citron phase 1. This flat consists of 2 bathrooms & 2 balconies build in 1200 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1205 sq.Ft. A separate space for others is available in this flat. Society provides 1 covered parking with this flat. The building has a tota...",Neuron Realty 
11,Vascon Citron Phase 1,Wagholi,19000.0,38000.0,1205.0,2 BHK ,"['East Facing', 'Close to School']",2bhk 850carpet with modular kitchen.. Closed to kharat it park.. All a category schools near by.. Road touch property 24/7 public transport available,Neuron Realty 
12,BA Vermont,Wagholi,29000.0,87000.0,1044.0,2 BHK ,"['East Facing', 'Private Garden']","A spacious *2 bhk fully furnished flat* (With additional dinning space) available on rent @ *b.A. Vermont society (E wing), baif road road, wagholi* pune. **available only for family** **complete furnished flat** Available for rent from 5th mar 2024 Suitable for family, a 2 bhk fully furnished spacious with additional dinning space flat (Total area-1000sqft & carpet- 750sqft) with reserved tand...",Neuron Realty 
13,Harmony co-operative housing society,Bhoslenagar,60000.0,360000.0,1200.0,3 BHK ,"['Close to Metro Station', 'Close to School']",The property is owned by m/s steel authority of india ltd. A public sector undertaking. Is available for central/state goverment/psu/bank employees on company lease basis. Total of 6flats available in same society at various floors. Rent mentioned is per flat. Terms and conditions shall be as per m/s sail.,Owner 
14,Kolte Patil Ivy Apartments,Wagholi,21000.0,60000.0,1190.0,2 BHK ,"['2 Baths', 'North-East Facing']","Ideal home for small family, very spacious, well lit and ventilated, aesthetically furnished 2bhk in best society of wagholi",Jivisha Services 
15,Duville Riverdale Heights,Kharadi,57000.0,100000.0,1200.0,3 BHK ,"['East Facing', 'Air Conditioned']",3bhk flat for rent in kharadi good location kharadi,EMPIRE PROPERTY 
16,Gera World of Joy,Kharadi,35000.0,70000.0,732.0,2 BHK ,"['East Facing', 'Air Conditioned']",2bhk duplex in rent kharadi brand new socity,EMPIRE PROPERTY 
17,Mittal Sun Grandeur,PatilNagar,30000.0,100000.0,1390.0,2 BHK ,"['2 Baths', 'East Facing']","Mittal sun grandeur is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in patil nagar with 1390 sq.Ft., is your opportunity to be a part of this community. Property has 1390 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. The flat is built on 1390 sq.Ft. Area. This property has others as well. Ease of access to 1 covered parking...",Pune Realty 
18,Vilas Javdekar Yashwin Orizzonte,Kharadi,31000.0,93000.0,930.0,2 BHK ,"['2 Baths', 'East Facing']","A 2 bhk flat for rent in kharadi close to all basic civic amenities is available for just 31,000 in vilas javdekar yashwin orizzonte, pune. Property has attached 2 bathrooms & 2 balconies with 2 rooms set in 930 sq.Ft. Super built-Up area. The flat is built on 930 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 20th in a tower with 22 floors. It is a se...",Realty Roof 
19,Kingston Aura,Handewadi,22500.0,45000.0,840.0,2 BHK ,"['2 Baths', 'East Facing']","Introducing a spacious and well-Maintained 2 bhk apartment available for rent in the desired locality of handewadi, pune. Situated in a gated society, this affordable apartment is perfect for families looking for a tranquil living experience.The apartment is part of the prestigious vedant kingston aura project and is located on the 9th floor, offering a beautiful garden view. With an area of 11...",Ozone Properties 
20,Sai Sundaram,Kharadi,30000.0,65000.0,1067.0,2 BHK ,"['East Facing', 'Air Conditioned']","Find this 2 bhk apartment for rent in kharadi, pune. This 2 bhk apartment in sai sundaram is situated in pune. This property offers access to nearby landmarks and is close to hospital. This flat consists of 2 bathrooms & 2 balconies build in 980 sq.Ft. Super built-Up area. This flat is constructed on 1067 sq.Ft. Area. An independent study room is available in this property. This flat lies on th...",READY 2 MOVE
21,VJ 67 K Inclusive Housing,Kharadi,25000.0,50000.0,474.0,1 BHK ,"['East Facing', 'Full Power Backup']","A 1 bhk flat for rent in kharadi close to all basic civic amenities is available for just 25,000 in vj 67 k inclusive housing, pune. This flat consists of 1 bathroom & 1 balcony in 4409 sq.Ft. Carpet area. The flat is built on 4409 sq.Ft. Area. This flat is situated at 6th in a tower with 12 floors. This is a 0-1 year old society. This is a semi-Furnished flat. Furnishing options provided - 1 e...",READY 2 MOVE
22,Goel Ganga Constella,Kharadi,33000.0,75000.0,1080.0,2 BHK ,"['East Facing', 'Close to School']","Situated in kharadi pune, goel ganga constella is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1014 sq.Ft. Big 2 bhk apartment now available for rent. This property offers access to nearby landmarks and is close to school. This flat consists of 2 bathrooms & 2 balconies in 1014 sq.Ft. Super built-Up area. The flat consists of 2 bedro...",READY 2 MOVE
23,Bunglow,Aundh,250000.0,1500000.0,10000.0,5 BHK ,"['7 Baths', 'East Facing']","Spacious bungalow available for rent in premium location, with modern amenities",One Stop solution  
24,Achalare Spring Gardens,Moshi,20000.0,50000.0,775.0,2 BHK ,"['2 Baths', 'East Facing']","Achalare spring gardens is the most preferred destination for renting flats in moshi, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. Property has 775 sq.Ft. Carpet area with 2 bathrooms & 1 balcony attached. This flat is constructed on 775 sq.Ft. Area. This flat lies on the 9th floor of a 12 storey building. This is a semi-Furnished flat. Already i...",Sparsh Properties 
25,VTP Township Codename Blue Waters,Mahalunge,17000.0,35000.0,450.0,1 BHK ,"['1 Baths', 'East Facing']","This lovely 1 bhk apartment for rent in mahalunge is available in one of pune's most popular projects, vtp township codename blue waters. Property has attached 1 bathroom & 1 balcony with 1 room set in 450 sq.Ft. Carpet area. The flat is built on 450 sq.Ft. Area. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 21st in a tower with 22 floors. This ...",Sparsh Properties 
26,Marvel Enigma,Kharadi,64000.0,256000.0,2200.0,3 BHK ,"['4 Baths', 'North Facing']","3 bhk with servant room. Fully furnished. Ultra-Luxury. Very spacious. & the best-In-Class facilities. One covered car parking. Prime location. Call for a site visit or more details. The magnificent marvel enigma that is smartly located in kharadi, pune is a well-Planned project. Spanning across 2 acres, the project is well-Spaced out. The project features a total of 101 units that are well-Ven...",PROPERTY SOLUTIONS 
27,RK Lunkad Aromatic Breeze,KalaKhadak,22000.0,40000.0,748.0,1 BHK ,"['1 Baths', 'Top Floor']","It is 1 bhk fully furnished flat available for family and working girls. It has lavish furniture with inverter, western and indian toilet too. It is close o ccd, bhumkar chowk, wakad. Additional details : Piped gas facility is available in the property. The apartment has borings water supply. Daily needs shopping could be done within the society premises to make the stay convinent. Full power b...",Metree Real Estate 
28,Kumar Primrose,EonFreeZone,36000.0,3.0,1000.0,2 BHK ,"['2 Baths', 'Air Conditioned']","This lovely 2 bhk apartment for rent in eon free zone is available in one of pune's most popular projects, kumar primrose. This 2 bhk flat comes with 2 bathrooms set in 1000 sq.Ft. Carpet usable area. This property is constructed on 1000 sq.Ft. Extra space for others. You also get 1 covered parking inside the premises located on top of 10 floor. This is a ready to move property and it is 1-5 ye...",PW Realty 
29,Godrej Infinity,KeshavNagar,28000.0,56000.0,850.0,2 BHK ,"['2 Baths', 'East Facing']",Explore this amicable godrej infinity of keshav nagar in pune ! Live in a 2 bhk flat for rent in keshav nagar. This flat consists of 2 bathrooms & 2 balconies in 850 sq.Ft. Carpet area. This flat is constructed on 850 sq.Ft. Area. An independent others is available in this property. Parking available: 1 covered parking & 1 open parking. This flat lies on the 10th floor of a 24 storey building. ...,PW Realty 
30,Landmark Garden,KalyaniNagar,65000.0,195000.0,1250.0,3 BHK ,"['3 Baths', 'East Facing']",Explore this amicable landmark garden of kalyani nagar in pune ! Live in a 3 bhk flat for rent in kalyani nagar. Property has 1250 sq.Ft. Carpet area with 3 bathrooms & 1 balcony attached. This flat is constructed on 1250 sq.Ft. Area. This flat lies on the 5th floor of a 11 storey building. Well maintained 10+ years property. It is an unfurnished property. Property will be leased for 11 months ...,HS Realtors 
31,Archana Kohinoor Glory,MohammedWadi,25000.0,75000.0,837.0,2 BHK ,"['2 Baths', 'Private Garden']",Rent: 25000,Foursides Property Management 
32,Karia Konark Campus,VimanNagar,45000.0,135000.0,1250.0,2 BHK ,"['2 Baths', 'Top Floor']","Klassic homes realtors offers a 2 bhk flat for rent in viman nagar close to all basic civic amenities is available for just 45,000 in karia konark campus, pune. Additionally, this property is in vicinity to important points of interest and is close to school, close to hospital, close to airport and close to highway. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 1160 sq.Ft. S...",Klassic Homes 
33,Magarpatta Annex,Magarpatta,29000.0,60000.0,900.0,2 BHK ,"['2 Baths', 'North Facing']","This 2 bhk flat in magarpatta is available in magarpatta annex for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 2 balconies in 850 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 900 sq.Ft. A separate space for pooja room is available in this flat. The building has a total of 12 floors and this property is situ...",star properties 
34,The Reserve at Lodha Belmondo,PuneMumbaiHighway,28000.0,140000.0,684.0,1 BHK ,"['East Facing', 'Full Power Backup']","This lovely 1 bhk apartment for rent in pune mumbai highway is available in one of pune's most popular projects, the reserve at lodha belmondo. This flat consists of 1 bathroom & 1 balcony in 493 sq.Ft. Carpet area. This property is constructed on 684 sq.Ft. Located on 22nd of 39 floor. This is a ready to move property and it is 1-5 years old flat. It is a semi-Furnished property. Inclusive of ...",KushVin Consultants
35,Megapolis Springs,Phase3H,24000.0,50000.0,750.0,2 BHK ,"['2 Baths', 'Gated Society']",2 bhk semi furnished flat with covered car parking at hinjewadi phase 3,Prasad Realty 
36,Kolte Patil Life Republic,Hadapsar,21000.0,60000.0,1051.0,2 BHK ,"['East Facing', 'Close to School']","2 bhk residential apartment available, with an area of 800 sq. Ft., which is located in hinjewadi, pune. The property is vaastu compliant. 2 attached balconies with all the bedrooms. Comes with modern amenities such as wi-Fi internet, piped gas facility, air conditioning etc. 2 mins walk from nearest market and school. Very close to top mnc it company offices in hinjewadi. Amenities include sto...",WHITEINDIA PROPERTY 
37,Kolte Patil Life Republic,Hadapsar,17000.0,45000.0,601.0,1 BHK ,"['East Facing', 'Close to School']","1 bhk comfortable flat with 1 attached bathroom located in hinjewadi phase i, pune. Well connected to baner, wakad and tathawade. 2 minutes walking distance from bus stop. Schools, star city mall and markets are located nearby. All major electricity and water supply connections are already installed.",WHITEINDIA PROPERTY 
38,Kolte Patil Life Republic,Hadapsar,23000.0,65000.0,1051.0,2 BHK ,"['East Facing', 'Close to School']","2 bhk residential apartment available, with an area of 800 sq. Ft., which is located in hinjewadi, pune. The property is vaastu compliant. 2 attached balconies with all the bedrooms. Comes with modern amenities such as wi-Fi internet, piped gas facility, air conditioning etc. 2 mins walk from nearest market and school. Very close to top mnc it company offices in hinjewadi. Amenities include sto...",WHITEINDIA PROPERTY 
39,Kolte Patil Life Republic,Hadapsar,16000.0,40000.0,601.0,1 BHK ,"['East Facing', 'Close to School']","1 bhk comfortable flat with 1 attached bathroom located in hinjewadi phase i, pune. Well connected to baner, wakad and tathawade. 2 minutes walking distance from bus stop. Schools, star city mall and markets are located nearby. All major electricity and water supply connections are already installed.",WHITEINDIA PROPERTY 
40,Kolte Patil Life Republic,Hadapsar,28000.0,70000.0,1601.0,3 BHK ,"['Close to School', 'Gated Society']","An extravagant township of 400 acres is waiting for you to be a part of it. Kolte patil life republic is a township development consisting of a state of the art infrastructure more then 22 avenues. You can find exclusive villas, lakefront, premium and value residences of 1bhk, 2bhk and 3bhk. This township also offers commercial spaces that include business parks and commercial complexes, along ...",WHITEINDIA PROPERTY 
41,Kolte Patil Life Republic,Hadapsar,27500.0,65000.0,1601.0,3 BHK ,"['East Facing', 'Close to School']","An extravagant township of 400 acres is waiting for you to be a part of it. Kolte patil life republic is a township development consisting of a state of the art infrastructure more then 22 avenues. You can find exclusive villas, lakefront, premium and value residences of 1bhk, 2bhk and 3bhk. This township also offers commercial spaces that include business parks and commercial complexes, along ...",WHITEINDIA PROPERTY 
42,Kolte Patil Life Republic,Hadapsar,20500.0,50000.0,5805.0,2 BHK ,"['2 Baths', 'East Facing']",2bhk unfurnished flat available for rent in life republic kolte patil township marunji,Elite Properties 
43,Kolte Patil Life Republic,Hadapsar,20000.0,60000.0,63722.0,2 BHK ,"['2 Baths', 'East Facing']","2bhk flat available for rent in life republic kolte patil township marunji.
It's available for family or bacholer.",Elite Properties 
44,Pebbles 2,Bavdhan,27000.0,81000.0,736.0,2 BHK ,"['2 Baths', 'East Facing']",It's a garden facing property with ample sunlight and ventilation.,Sahyadri Realties 
45,Kamalraj Datta Vihar,MIDCMoshi,25000.0,50000.0,1250.0,3 BHK ,"['2 Baths', 'Fresh Construction']","This 3 bhk flat in midc moshi is available in kamalraj datta vihar for rent, one of the most prominent projects for residential flats in pune. This flat consists of 2 bathrooms & 2 balconies in 1250 sq.Ft. Carpet area. This flat is constructed on 1250 sq.Ft. Area. This flat lies on the 9th floor of a 14 storey building. Well maintained 0-1 year property. This is a semi-Furnished flat. Furnishin...",Sparsh Properties 
46,VTP Township Codename Blue Waters,Mahalunge,26000.0,52000.0,704.0,2 BHK ,"['2 Baths', 'East Facing']","Vtp township codename blue waters is the most preferred destination for renting flats in mahalunge, pune. A 2 bhk flat is now available for rent here. Don't miss to be a part of this community. This 2 bhk flat comes with 2 bathrooms set in 705 sq.Ft. Carpet usable area. Flat is constructed on 705 sq.Ft. 1 covered parking available. Placed on top of 22 floor in 0-1 year old tower. It is a semi-F...",Sparsh Properties 
47,VTP Township Codename Blue Waters,Mahalunge,18000.0,45000.0,467.0,1 BHK ,"['1 Baths', 'East Facing']","Pune's most popular society vtp township codename blue waters in mahalunge offers 1 bhk apartment. This flat consists of 1 bathroom & 2 balconies build in 467 sq.Ft. Carpet area. Flat is constructed on 467 sq.Ft. 1 covered parking available. Placed on 6th of 22 floor in 0-1 year old tower. This property is unfurnished. The flat will be available from fri, 20 oct 2023 for families, single men an...",Sparsh Properties 
48,Amorapolis,Dhanori,28000.0,60000.0,1010.0,3 BHK ,"['3 Baths', 'North Facing']","This 3 bhk flat in dhanori is available in amorapolis for rent, one of the most prominent projects for residential flats in pune. Property has attached 3 bathrooms & 2 balconies with 3 rooms set in 1010 sq.Ft. Carpet area. Flat is constructed on 1010 sq.Ft. Placed on 3rd of 13 floor in 0-1 year old tower. This is a semi-Furnished flat. Furnishing options provided - 6 fan, 10 light, 1 modular ki...",Star Property Consultant  
49,Bramhacorp F Residences,KalyaniNagar,67000.0,201000.0,1100.0,3 BHK ,"['3 Baths', 'East Facing']",Explore this amicable bramhacorp f residences of kalyani nagar in pune ! Live in a 3 bhk flat for rent in kalyani nagar. Property has attached 3 bathrooms & 2 balconies with 3 rooms set in 1100 sq.Ft. Carpet area. This flat is constructed on 1100 sq.Ft. Area. An independent study room is available in this property. This flat lies on the 11th floor of a 20 storey building. Well maintained 1-5 ye...,Sumegh Properties 
50,Marvel Zephyr,Kharadi,60000.0,180000.0,2360.0,3 BHK ,"['4 Baths', 'East Facing']","Marvel zephyr in kharadi, pune is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk, 3bhk and 4bhk apartments available in this project. Additional details : Piped gas facility is available in the property. The apartment has bor...",VASTU REAL ESTATE 
51,Kolte Cheryl,AshokaNagar,32000.0,80000.0,1160.0,2 BHK ,"['2 Baths', 'Private Garden']","Cheryl 2 bhk flat for rent in ashoka nagar close to all basic civic amenities is available for just 32000 in kolte cheryl, pune. This flat consists of 2 bathrooms & 2 balconies build in 930 sq.Ft. Super built-Up area. This property is constructed on 1160 sq.Ft. Extra space for store room. You also get 1 covered parking inside the premises located on 5th of 11 floor. This is a ready to move prop...",Prop Laksh 
52,Victory Towers,Hadapsar,55000.0,100000.0,1800.0,4 BHK ,"['4 Baths', 'East Facing']","This 4 bhk flat in hadapsar is available in victory towers for rent, one of the most prominent projects for residential flats in pune. This flat consists of 4 bathrooms & 3 balconies in 1800 sq.Ft. Super built-Up area. This flat is constructed on 1800 sq.Ft. Area. An independent store room, pooja room, study room and servant room is available in this property. Parking available: 1 covered parki...",Tulsi Properties 
53,Amanora Future Towers,Hadapsar,40000.0,80000.0,1410.0,2 BHK ,"['2 Baths', 'East Facing']","A spacious 2 bhk flat for rent is available in hadapsar in amanora future towers, pune. Property has 1200 sq.Ft. Carpet area with 2 bathrooms & 3 balconies attached. The flat is built on 1410 sq.Ft. Area. Ease of access to 1 covered parking and 1 open parking within society. This flat is situated at 9th in a tower with 30 floors. This is a 1-5 years old society. This property is semi-Furnished....",Tulsi Properties 
54,Reelicon Felicia,Pashan,35000.0,100000.0,750.0,2 BHK ,"['2 Baths', 'East Facing']","Situated in pashan pune, reelicon felicia is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. This flat consists of 2 bathrooms & 1 balcony in 750 sq.Ft. Carpet area. Flat is constructed on 750 sq.Ft. 1 covered parking available. Placed on 10th of 12 floor in 5-10 years old tower. Furnished flat wi...",Surya Properties 
55,Border Roads Housing Society,Dhanori,21000.0,50000.0,782.0,2 BHK ,"['2 Baths', 'East Facing']",Semi furnished flat with all daily use item...,HomeCraft Real estate & Interior Design 
56,Pride World City,Lohegaon,22000.0,50000.0,780.0,2 BHK ,"['East Facing', 'Close to School']","Luxurious 2 bhk flat on rent in pride world city lohegaon with all modern amenities 
24 hours water supply 
Shopping complex in society premises 
Gardens, playground , children play area etc in society amenities 
Kitchen cabinets, gas pipeline , gas hub , water purifier , fan, lights , curtain rods etc in flat 
Available for family and batchlors also",Pravin Kirdat 
57,Godrej Elements,Hadapsar,32000.0,96000.0,1222.0,2 BHK ,"['2 Baths', 'East Facing']","Godrej elements is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in hinjewadi with 1128 sq.Ft., is your opportunity to be a part of this community. Property has 1128 sq.Ft. Super built-Up area with 2 bathrooms & 2 balconies attached. This flat is constructed on 1222 sq.Ft. Area. An independent store room is available in this property. This flat l...",FUTURE BRICKS
58,Kumbare Township,EklavyaColony,45000.0,150000.0,1500.0,3 BHK ,"['3 Baths', 'East Facing']","3bhk row house on rent at kothrud, ,bhujbal township , near eklavya college, nice location & locality. 24 hours water & elasticity.",Sai Real Estate Consultant 
59,Shree Nidhi Apartment,Kothrud,29000.0,75000.0,1200.0,3 BHK ,"['2 Baths', 'Private Garden']","Shree nidhi apartment is one of pune's most sought after destination for residential flats and this 3 bhk flat for rent in kothrud with 1100 sq.Ft., is your opportunity to be a part of this community. Property has attached 2 bathrooms & 1 balcony with 3 rooms set in 1100 sq.Ft. Super built-Up area. The flat consists of 3 bedrooms, built on 1200 sq.Ft. A separate space for store room is availabl...",Sai Real Estate Consultant 
60,Nyati Elan,Wagholi,27000.0,81000.0,903.0,2 BHK ,"['2 Baths', 'East Facing']",Nyati elan 2 bhk 900 carpet carden fencing flat all amenity in project gym swimming pool flat in side pawer backup pipe gas,anil jadhav 
61,Nyati Elan,Wagholi,19000.0,57000.0,820.0,2 BHK ,"['2 Baths', 'North-East Facing']","Situated in wagholi pune, nyati elan is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 780 sq.Ft. Big 2 bhk apartment now available for rent. This 2 bhk flat comes with 2 bathrooms set in 780 sq.Ft. Super built-Up usable area. This property is constructed on 820 sq.Ft. Extra space for others. Located on 7th of 12 floor. This is a ready...",anil jadhav 
62,Sancheti Mount n Glory,TulajaBhawaniNagar,38000.0,100000.0,950.0,2 BHK ,"['2 Baths', 'East Facing']","This lovely 2 bhk apartment for rent in tulaja bhawani nagar is available in one of pune's most popular projects, sancheti mount n glory. Additionally, this property is in vicinity to important points of interest and is close to school, close to market, close to highway and close to hospital. This 2 bhk flat comes with 2 bathrooms set in 945 sq.Ft. Super built-Up usable area. Flat is constructe...",Vighnaharta Properties
63,Amanora Gold Towers,Hadapsar,31000.0,93000.0,1070.0,2 BHK ,"['2 Baths', 'Full Power Backup']","Pune's most popular society amanora gold towers in hadapsar offers 2 bhk apartment. This flat consists of 2 bathrooms & 2 balconies in 1050 sq.Ft. Super built-Up area. The flat consists of 2 bedrooms, built on 1070 sq.Ft. A separate space for store room is available in this flat. Society provides 1 covered parking with this flat. The building has a total of 33 floors and this property is situat...",Vighnaharta Properties
64,Dremwood kharadi,Kharadi,22000.0,50000.0,623.0,1 BHK ,"['East Facing', 'Corner Property']","Dremwood kharadi is the most preferred destination for renting flats in kharadi, pune. A 1 bhk flat is now available for rent here. Don't miss to be a part of this community. This 1 bhk flat comes with 1 bathroom set in 623 sq.Ft. Super built-Up usable area. The flat consists of 1 bedroom, built on 623 sq.Ft. A separate space for store room is available in this flat. Society provides 1 covered ...",READY 2 MOVE
65,daffodils hights,WadgaonSheri,22000.0,44000.0,560.0,1 BHK ,"['East Facing', 'Full Power Backup']","Situated in wadgaon sheri pune, daffodils hights is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 1 bhk apartment now available for rent. This flat consists of 1 bathroom & 1 balcony build in 560 sq.Ft. Carpet area. The flat is built on 560 sq.Ft. Area. Ease of access to 1 covered parking within society. This flat is situated at 3rd i...",READY 2 MOVE
66,Shree Ram Heights,WadgaonSheri,18000.0,54000.0,612.0,1 BHK ,"['East Facing', 'Vitrified Flooring']","Spacious well maintained 1bhk flat available for rent in one of the very good location in wadgaon sheri area.
Flat available for bachelors as well as couples.
24 hrs water facility available in the premises. 
Fully furnished flat.",READY 2 MOVE
67,Panchshil Eon Waterfront,Kharadi,80000.0,240000.0,2850.0,4 BHK ,"['5 Baths', 'Private Garden']","Panchshil eon waterfront is one of pune's most sought after destination for residential flats and this 4 bhk flat for rent in kharadi with 2850 sq.Ft., is your opportunity to be a part of this community. This flat consists of 5 bathrooms & 2 balconies in 2850 sq.Ft. Super built-Up area. The flat is built on 2850 sq.Ft. Area. This property has servant room as well. Ease of access to 2 covered pa...",Property Address 
68,Kasturi Ike No Midori,Bavdhan,23000.0,50000.0,800.0,2 BHK ,"['2 Baths', 'East Facing']","Situated in bavdhan pune, kasturi ike no midori is a well planned, ready to move society that offers a pleasant living experience to its residents. This is a 2 bhk apartment now available for rent. Property has attached 2 bathrooms & 1 balcony with 2 rooms set in 800 sq.Ft. Carpet area. This property is constructed on 800 sq.Ft. Located on 5th of 8 floor. This is a ready to move property and it...",connex real estate 
69,Citrine,Kharadi,50000.0,150000.0,1255.0,2 BHK ,"['2 Baths', 'East Facing']",Beautiful fully furnished 2bhk penthouse is available for rent in marvel citrine. Available for both family and bachelors. Possession is available from 1st february 2024. For more details kindly contact to our otis realty team.,Otis Realty
70,VTP Purvanchal,Wagholi,16000.0,32000.0,753.0,2 BHK ,"['2 Baths', 'North-East Facing']","Vtp purvanchal is one of pune's most sought after destination for residential flats and this 2 bhk flat for rent in wagholi, is your opportunity to be a part of this community. This flat consists of 2 bathrooms & 2 balconies build in 753 sq.Ft. Carpet area. This flat is constructed on 753 sq.Ft. Area. This flat lies on the 12th floor of a 15 storey building. Well maintained 0-1 year property. U...",Shubham Properties 
71,Shubh Shagun,Kharadi,30000.0,70000.0,990.0,2 BHK ,"['2 Baths', 'Private Garden']","Pune's most popular society shubh shagun in kharadi offers 2 bhk apartment. The flat is close to market, close to railway station, close to hospital and close to school. This 2 bhk flat comes with 2 bathrooms set in 910 sq.Ft. Super built-Up usable area. Flat is constructed on 990 sq.Ft. You get an additional space of study room. 1 covered parking available. Placed on 8th of 14 floor in 1-5 yea...",FORTUNE REALTY SOLUTIONS
72,Fortune East Society,Kharadi,38000.0,100000.0,1562.0,3 BHK ,"['3 Baths', 'North Facing']","Fortune east society is one of pune's most sought after destination for residential flats and this 3 bhk flat for rent in kharadi with 1420 sq.Ft., is your opportunity to be a part of this community. The flat is close to school, close to hospital and close to market. This 3 bhk flat comes with 3 bathrooms set in 1420 sq.Ft. Super built-Up usable area. The flat is built on 1562 sq.Ft. Area. This...",FORTUNE REALTY SOLUTIONS
73,Guardian Eastern Meadows,Kharadi,28000.0,60000.0,800.0,2 BHK ,"['2 Baths', 'Corner Property']","2bhk unused flta gated society family bachlor allowed semifrunished flat 
Close to eon it park
 Additional details :",AK  
